	0	1	2	3	4	5	6
95	96	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	3.0	2024-05-25	10:22:12	1848570232
96	97	пробирки 15 мл	INIT_BASE_CODE_OLIGO_LAB_0000058	3.0	2024-05-27	10:38:45	1783121115
97	98	Наконечники 200 мкл	INIT_BASE_CODE_OLIGO_LAB_0000067	2.0	2024-05-27	10:39:12	1783121115
98	99	плоскодонные пробирки-2 мл 	INIT_BASE_CODE_OLIGO_LAB_0000065	1.0	2024-05-27	10:40:51	1783121115
99	100	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-05-27	16:19:53	1783121115
100	101	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-27	16:39:05	1848570232
101	102	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-05-28	11:13:14	1783121115
102	103	активатор BTT	INIT_BASE_CODE_OLIGO_LAB_0000030	1.0	2024-05-28	13:19:01	1783121115
103	104	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-28	14:00:37	1783121115
104	105	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	10.0	2024-05-28	15:54:44	1848570232
105	106	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	1.443	2024-05-29	15:59:21	1848570232
106	107	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.402	2024-05-29	15:59:21	1848570232
107	108	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.574	2024-05-29	15:59:21	1848570232
108	109	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.669	2024-05-29	15:59:21	1848570232
109	110	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-05-30	12:05:48	1848570232
110	111	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-30	12:06:47	1848570232
111	112	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-30	12:15:16	1848570232
112	113	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	2.073	2024-05-30	14:10:20	1848570232
113	114	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.556	2024-05-30	14:10:20	1848570232
114	115	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	2.228	2024-05-30	14:10:20	1848570232
115	116	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	2.239	2024-05-30	14:10:20	1848570232
116	117	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-05-30	14:29:23	1783121115
117	118	Наконечник 5мл	INIT_BASE_CODE_OLIGO_LAB_0000088	1.0	2024-05-30	15:40:35	1783121115
118	119	конусные пробирки-1.5 мл	INIT_BASE_CODE_OLIGO_LAB_0000039	1.0	2024-05-30	15:40:56	1783121115
119	120	Универсальное CPG тип II, 1000A	INIT_BASE_CODE_OLIGO_LAB_0000134	0.25	2024-06-03	15:21:21	1848570232
120	121	DusQ 1 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000137	0.5	2024-06-03	15:33:07	1848570232
121	122	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-04	11:02:00	1783121115
122	123	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-06-04	11:02:52	1783121115
123	124	Фильтр колонны FS001-1	INIT_BASE_CODE_OLIGO_LAB_0000089	2.0	2024-06-04	11:03:15	1783121115
124	125	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-04	11:09:18	1783121115
125	126	дихлорусная кислота	INIT_BASE_CODE_OLIGO_LAB_0000008	1.0	2024-06-04	11:12:52	1783121115
126	127	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-04	14:41:19	1783121115
